year;month;ff4_hf;sp500_hf;us_rgdp;us_gdpdef;gs1;logsp500;ebpnew
2009;2;0.0;0.0;447.768902517201;535.990622921716;0.62;669.112795089572;5.21
2009;3;-0.015;1.814499277;446.190932954605;535.891845867589;0.64;662.953496920864;5.6
2009;4;0.0;0.626013845;445.358421448298;535.992503442808;0.55;674.305750694173;5.46
2009;5;0.0;0.0;444.343330355296;536.139544676073;0.5;680.506896224268;4.77
2009;6;0.01;-0.646025455;443.965736750921;536.966080661617;0.51;683.1003815883;3.77
2009;7;0.0;0.0;445.088433035833;536.936279676102;0.48;684.142315029179;3.53
2009;8;-0.005;-0.291325257;446.179161147608;537.27056565519;0.46;691.743824736447;2.99
2009;9;-0.02;0.513298244;447.056736244354;537.463468201873;0.4;695.134144964506;2.91
2009;10;0.0;0.0;447.325919409062;537.763211701732;0.37;697.322461677544;2.9
2009;11;-0.01;0.084351395;447.758791931239;538.097511356225;0.31;699.216076358157;2.92
2009;12;-0.0025;-0.053888505;448.163777932726;538.149515471705;0.37;701.245757806295;2.78
2010;1;0.0;0.081419365;449.247841780631;538.214367659289;0.35;702.427529514287;2.51
2010;2;0.0;0.0;449.62243618974;538.119144671615;0.35;699.316203592401;2.65
2010;3;-0.01;0.193667464;450.305772302473;538.152275996204;0.4;704.929824309174;2.55
2010;4;-0.01;0.158717495;450.644427922476;538.175277403992;0.45;708.784100483452;2.41
2010;5;-0.01;0.0;451.986281090768;538.123286687534;0.37;702.559164654968;2.63
2010;6;0.0;0.337454732;452.171031311693;538.081398399762;0.32;698.782260173733;3.03
2010;7;0.0;0.0;452.550015886053;538.268149265897;0.29;698.453111778419;3
2010;8;0.0;0.726819738;452.915809445683;538.414178938621;0.26;699.143444364709;2.96
2010;9;0.005;0.593150017;453.21015197227;538.575573569687;0.26;702.29393847886;3.01
2010;10;0.0;0.0;452.926382847761;538.923153439867;0.23;706.610854413529;3.18
2010;11;0.01;-0.330400175;453.013301303022;539.17621712579;0.25;708.915140769959;3.16
2010;12;0.005;0.002007347;453.987084216499;539.577070269675;0.29;712.409976897363;2.81
2011;1;0.0;-0.055877117;453.776248602407;539.900849757756;0.27;715.666013991925;2.69
2011;2;0.0;0.0;453.378373789512;540.221781682898;0.29;718.623514066912;2.57
2011;3;0.0;0.282955733;454.413272896693;540.737802821464;0.26;717.356743877507;2.62
2011;4;-0.005;0.164198732;454.089722958508;541.206114426369;0.25;719.406891555248;2.57
2011;5;0.0;0.0;454.210258252052;541.523780805481;0.19;719.916290294059;2.61
2011;6;0.0;0.096868186;454.51228974827;541.523780805481;0.18;716.029451243841;2.75
2011;7;0.0;0.0;455.003795335004;541.785441857348;0.19;718.931112436648;2.76
2011;8;0.0;-0.950797755;455.676639716609;542.100391586239;0.11;707.775962273256;3.06
2011;9;0.015;-0.250066908;455.593897457162;542.317310931827;0.1;706.8069780513;3.3
